Project Name,contract,logo_link,Group,M1,M3,M2,Holder_1,Seller_1,Buyer_1,n_holder,Holder,Seller,Buyer
DEGEN TOONZ COLLECTION,0x19b86299c21505cdf59ce63740b240a9c822b5e4,https://lh3.googleusercontent.com/3Rk7PFs3XX1ja50aKi8lxh9x67yNX5kZLti7gPlHvWsS7iuXSUdQGctoOXtto7uLLLnvwxe1uhWN6WmmZvVWCcQ-Qm7a8K2KFmEZJC4=s120,1,0.787412032,0.611,0.095,0.916159251,0.051990632,0.031850117,5,0.140840257,0.358454114,0.500705628
Doodles,0x8a90cab2b38dba80c64b7734e58ee1db38b8992e,https://lh3.googleusercontent.com/7B0qai02OdHA8P_EOVK672qUliyjQdQDGNrACxs7WnTgZAkJa_wWURnIFKeOh5VTf8cfTqW3wQpozGedaC9mteKphEOtztls02RlWQ=s130,3,0.36904196,0.514,0.935,0.901737101,0.049261084,0.049001815,87,0.675938168,0.254869881,0.069191951
Dooplicator,0x466cfcd0525189b573e794f554b8a751279213ac,https://lh3.googleusercontent.com/RrCR2EKxJnu_JoadezfSwRBFeiYexn54OwWyAtGdCfZpfvwmjlxiqrajlOrIJ1ri9SRnc6P-UxW9_saOFwp69vUDcxxr_Wr2S_YXjqc=s120,2,0.41079747,0.05,0.971,0.949663851,0.029305292,0.021030857,48,0.191176733,0.617479697,0.19134357
FLUF World,0xccc441ac31f02cd96c153db6fd5fe0a2f4e6a68d,https://static.nftgo.io/asset/1629898176742.png,3,0.341292769,0.579,0.342,0.972968701,0.003319633,0.023711666,20,0.104286642,0.615199161,0.280514197
GalacticApes,0x12d2d1bed91c24f878f37e66bd829ce7197e4d14,https://lh3.googleusercontent.com/fy46-MlNjZMR1NCTNAgmh9e97SNffpSBkwd0HpL9XTBfRt6-GvjTytWHoN9Pzmbw83TbRzo8nGgZ32QbVVMYnrmBb2vM6_6_3yXv=s130,3,0.216990413,0.685,0.969,0.945210084,0.037647059,0.017142857,36,0.370891415,0.180514829,0.448593756
Galaxy-Eggs,0xa08126f5e1ed91a635987071e6ff5eb2aeb67c48,https://lh3.googleusercontent.com/cK3uA0hH0MMdKWgMX24ZoIZh0_c_M0E1WRkSrFbsPQ3lDUsI14BAXyM_KRwPVG4Lh5NHczOtFLg3R31tUso_QJ1FwCNte2MQuwdfdg=s130,3,0.034915908,0.266,0.918,0.982048901,0.011606314,0.006344785,57,0.153992765,0.327334286,0.51867295
goblintown.wtf,0xbce3781ae7ca1a5e050bd9c4c77369867ebc307e,https://lh3.googleusercontent.com/t8zxWYl1PgsaolNZbpv26aesKu2wF3AlekyxeYtRsOf7WzKSl-i61bGmnwivAepCTJTvz89CQyHpON-M-RLcCMq5rgSOyngjC1dV=s120,2,0.353651684,0.325,0.315,0.972300082,0.018301731,0.009398186,75,0.768657006,0.134351649,0.096991345
Gutter Cat Gang,0xedb61f74b0d09b2558f1eeb79b247c1f363ae452,https://lh3.googleusercontent.com/gjOExI2qNNJuv6fo4hmHamRzDMRLkYPFQtK4d67GE3bgdVJCyZngUwY_h6qp9244pp7l_pF2JBHtOJ8cLgzFbulxMK-KqlZnu9E1sg=s130,0,0.390341603,0.822,0.698,0.971778118,0.0109829,0.017238982,5,0.533653684,0.06785139,0.398494926
HAPE Prime,0x4db1f25d3d98600140dfc18deb7515be5bd293af,https://lh3.googleusercontent.com/h1ee4aTjnAcMVkwnIEyK5Yobs0hMHfHa2drZfzNATJ9BrX-ANjLr7zCs6WZm_YE-wv_ybl2cPbpK2kJtM-CCEalllvbpPUR-tTNtnQ=s120,1,0.277526403,0.842,0.594,0.936625799,0.030391988,0.032982214,91,0.063754436,0.342098036,0.594147527
Hashmasks,0xc2c747e0f7004f9e8817db2ca4997657a7746928,https://static.nftgo.io/asset/1626416551744.png,0,0.263843798,0.556,0.532,0.940028389,0.03761533,0.022356281,71,0.391870262,0.035043812,0.573085926
INNOCENTCATS NFT,0xbabe3dec32fa870b4125b9cad1cea498dcb116c9,https://storage.opensea.io/files/397bdae98431df0a88659333a82a8c89.jpg,1,0.355782375,0.607,0.046,0.939270538,0.02868272,0.032046742,74,0.718483096,0.031918718,0.249598186
Invisible Friends,0x59468516a8259058bad1ca5f8f4bff190d30e066,https://lh3.googleusercontent.com/lW22aEwUE0IqGaYm5HRiMS8DwkDwsdjPpprEqYnBqo2s7gSR-JqcYOjU9LM6p32ujG_YAEd72aDyox-pdCVK10G-u1qZ3zAsn2r9=s120,4,0.42616564,0.7,0.563,0.960244115,0.020575414,0.019180471,11,0.831619993,0.034158224,0.134221783
JUNGLE FREAKS BY TROSLEY,0x7e6bc952d4b4bd814853301bee48e99891424de0,https://lh3.googleusercontent.com/9ElHIcK8dZ3fOxLLVA1KKNuN7AVmNvFycX4jK3f_GvDhTrkCgh4hBJAiXGf8UsBSWlJU9lpSrtPtCfNHDp08ChZ7Tx_LDXbiT65t=s130,3,9.46E-06,0.623,0.78,0.779909707,0.041760722,0.178329571,8,0.739876741,0.132956997,0.127166262
